ticker,direction,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,bars_held,exit_reason,regime_score,layer
ETH-USD,LONG,2021-06-22,2021-06-30,1886.6676025390625,2164.21630859375,4.495351969880689,1229.468973531107,0.14496343806162965,8,signal_exit,0.4013201024169249,0
XRP-USD,LONG,2021-06-22,2021-07-05,0.6072319746017456,0.6956530213356018,12241.325312601643,1066.4417584697098,0.14346767855078033,13,signal_exit,0.4023590695814113,0
BTC-USD,LONG,2021-07-21,2021-07-24,29796.28515625,33593.73046875,0.6991496657982855,2610.6635128824737,0.12531949124845024,3,signal_exit,0.6865898525987069,0
BNB-USD,LONG,2021-07-21,2021-07-25,264.4947509765625,301.84661865234375,67.13217742498483,2469.492478656066,0.13907847384620498,4,signal_exit,0.6882193931334872,0
XRP-USD,LONG,2021-07-21,2021-07-27,0.5290539860725403,0.6241739988327026,29601.389875537672,2781.547431483123,0.17761284717430145,6,signal_exit,0.404915559572097,0
SOL-USD,LONG,2021-12-11,2021-12-19,167.9166259765625,182.8509063720703,71.80369194659282,1047.1500651254557,0.08684972544168867,8,signal_exit,0.7211599244847253,0
ETH-USD,LONG,2021-12-14,2021-12-22,3782.82275390625,4018.69580078125,4.40568072183204,1004.810335519571,0.060291359959913374,8,signal_exit,0.7058264258706972,0
BNB-USD,LONG,2021-12-14,2021-12-24,520.6317138671875,549.0022583007812,34.16575355072912,932.7561785355956,0.0524380473456717,10,signal_exit,0.6801163315501837,0
BNB-USD,LONG,2022-01-09,2022-01-13,430.2531127929687,487.0425720214844,41.902806082916726,2341.200434404722,0.12985882468347432,4,signal_exit,0.40137920789213943,0
SOL-USD,LONG,2022-01-06,2022-01-21,155.10592651367188,111.96605682373048,127.63529730178674,-5540.257905430255,-0.2798535339618546,15,stop_loss,0.6156158443822068,0
ETH-USD,LONG,2022-01-09,2022-01-22,3091.6962890625,2405.18115234375,5.569633014463746,-3854.25296047196,-0.22382923465292776,13,stop_loss,0.40116603334915085,0
BNB-USD,LONG,2022-02-22,2022-03-01,356.7254638671875,395.6241149902344,50.3328380615098,1920.0116182692088,0.10693461893819756,7,signal_exit,0.4135098738588398,0
XRP-USD,LONG,2022-04-12,2022-04-16,0.6951689720153809,0.7856529951095581,31074.180888092087,2765.701571441265,0.12803103232444485,4,signal_exit,0.6918112974220725,0
BTC-USD,LONG,2022-08-20,2022-09-04,20872.841796875,19986.712890625,1.0614245493778511,-983.9283094290536,-0.04441122440147488,15,time_stop,0.6225654062702857,0
ETH-USD,LONG,2022-09-19,2022-09-28,1335.270751953125,1337.410888671875,14.222101050854869,-7.573907693025859,-0.0003988291671153859,9,time_stop,0.5971902666003434,0
SOL-USD,LONG,2022-11-09,2022-11-13,24.159435272216797,13.164528846740724,378.1709523278276,-4172.069072733153,-0.45664272634228453,4,stop_loss,0.5631298442739332,0
XRP-USD,LONG,2022-11-09,2022-11-24,0.4062530100345611,0.3815790116786957,45260.03443983128,-1152.4033197903534,-0.06267481039811268,15,signal_exit,0.7193241938016641,0
ETH-USD,LONG,2022-11-10,2022-11-25,1100.107177734375,1203.7994384765625,11.4911398627865,1165.0677577193235,0.09216225125881068,15,signal_exit,0.692625999239239,0
XRP-USD,LONG,2022-12-17,2022-12-27,0.3519150018692016,0.3657279908657074,60028.032950836074,786.0878614169582,0.03721167308644066,10,signal_exit,0.6871153230511386,0
BNB-USD,LONG,2022-12-17,2022-12-27,231.2207489013672,246.5966796875,78.74932522029827,1173.216373962098,0.06443242411561903,10,time_stop,0.4095058110652172,0
SOL-USD,LONG,2022-12-29,2023-01-03,9.755775451660156,11.27472686767578,1593.8914021352084,2387.5232654190277,0.15354196302677134,5,signal_exit,0.6369762408655237,0
BTC-USD,LONG,2023-06-06,2023-06-07,25732.109375,27235.650390625,0.854734857050855,1239.8555244887561,0.05637210827607774,1,signal_exit,0.4172536663149582,0
SOL-USD,LONG,2023-06-08,2023-06-13,18.63564682006836,15.018193244934082,1193.524547224369,-4357.686324593255,-0.19592061657164878,5,stop_loss,0.5817267033800907,0
BTC-USD,LONG,2023-06-11,2023-06-17,25854.03125,26328.6796875,0.8316330573182971,351.33646379336756,0.01634041989341604,6,signal_exit,0.6886748480343632,0
ETH-USD,LONG,2023-06-11,2023-06-19,1752.527587890625,1737.659423828125,12.26981501884955,-225.253571731762,-0.01047535639442641,8,time_stop,0.6924762630719244,0
BTC-USD,LONG,2023-08-17,2023-08-17,28699.802734375,26664.55078125,0.745502728526505,-1558.5601609025903,-0.07284427443595642,0,stop_loss,0.7422822981632262,0
BNB-USD,LONG,2023-08-19,2023-08-24,216.1444854736328,218.6463928222656,96.96674745180079,200.44156073261462,0.009563586439909661,5,time_stop,0.4949765624728579,0
ETH-USD,LONG,2023-08-18,2023-08-25,1682.0384521484375,1652.93505859375,12.477121981119817,-404.7374627437059,-0.019285151908386367,7,time_stop,0.6963550647349412,0
BTC-USD,LONG,2023-08-18,2023-08-29,26636.078125,27727.392578125,0.791560571174308,820.8095119256192,0.03893031765245564,11,time_stop,0.7203306240310219,0
BNB-USD,LONG,2023-10-10,2023-10-16,205.7500915527344,209.74880981445312,103.07345078879773,369.33478440466115,0.017415396189182954,6,signal_exit,0.7287017956995827,0
XRP-USD,LONG,2024-01-04,2024-01-10,0.5825769901275635,0.5999889969825745,36529.48752519817,592.8531577249254,0.027858019013670934,6,time_stop,0.6961596836383209,0
ETH-USD,LONG,2024-04-14,2024-04-23,3005.547607421875,3201.588623046875,5.645564458582053,1071.7194025445174,0.06316116202110955,9,signal_exit,0.7248121794948744,0
XRP-USD,LONG,2024-04-14,2024-04-23,0.4808189868927002,0.5568289756774902,29548.29655359494,2215.304959932144,0.15592633166741127,9,signal_exit,0.6776662848707906,0
BTC-USD,LONG,2024-05-02,2024-05-04,58253.703125,62891.03125,0.37864055354631404,1710.0101789429193,0.07752611676779131,2,signal_exit,0.6920694216746424,0
ETH-USD,LONG,2024-05-12,2024-05-16,2911.658203125,3036.01416015625,7.692941571617434,910.908015546128,0.040666958965473524,4,signal_exit,0.7110467485881423,0
BTC-USD,LONG,2024-06-25,2024-07-02,60266.28125,62844.41015625,0.37469373533430783,919.879945233569,0.040736182222024034,7,signal_exit,0.5057313024169756,0
XRP-USD,LONG,2024-07-05,2024-07-13,0.4334479868412018,0.4747200012207031,52521.58209621009,2119.9730719668,0.09312269895540468,8,signal_exit,0.4008714091253526,0
ETH-USD,LONG,2024-07-05,2024-07-14,3057.833251953125,3176.741455078125,7.416116825104751,835.6007914560989,0.03684753848039323,9,signal_exit,0.4071801859830138,0
BNB-USD,LONG,2024-08-06,2024-08-11,464.6269226074219,523.3178100585938,34.310368041292556,1979.8092017375584,0.12419199127481667,5,signal_exit,0.596985713526626,0
ETH-USD,LONG,2024-08-05,2024-08-27,2686.027587890625,2681.622802734375,7.032307063226504,-68.72276752121482,-0.003638248389901843,22,signal_exit,0.400706490748108,0
BTC-USD,LONG,2024-09-07,2024-09-11,53949.0859375,57650.2890625,0.44002054293090903,1579.499390981827,0.0665368780141809,4,signal_exit,0.5673662481202333,0
SOL-USD,LONG,2024-12-22,2025-01-02,181.2868194580078,193.87213134765625,88.3332252403524,1078.5621897659498,0.06735267889495443,11,signal_exit,0.5094107068720026,0
ETH-USD,LONG,2025-02-03,2025-02-17,2868.07861328125,2743.19970703125,5.831251588407786,-760.9210960472599,-0.04549742254833945,14,time_stop,0.40026745110438605,0
BTC-USD,LONG,2025-02-25,2025-03-03,91437.1171875,94248.421875,0.2637674384717174,692.5528371856514,0.028715025464477767,6,signal_exit,0.6548438069697988,0
XRP-USD,LONG,2025-03-11,2025-03-15,2.0181939601898193,2.3564300537109375,6502.155440921564,2170.8191704704227,0.16542585900703835,4,signal_exit,0.6225485428482568,0
BTC-USD,LONG,2025-04-07,2025-04-10,78221.3359375,82565.9765625,0.3156531180066351,1320.6463433730135,0.053487367127594956,3,signal_exit,0.5154602456031873,0
SOL-USD,LONG,2025-04-07,2025-04-12,105.7120132446289,121.53269958496094,137.13141767088464,2138.3507567475963,0.147508699805173,5,signal_exit,0.4060258375897268,0
BTC-USD,LONG,2025-08-26,2025-09-04,110124.1015625,111718.1484375,0.23049094288351377,316.2807378453684,0.012460529580086668,9,signal_exit,0.7177183768407139,0
ETH-USD,LONG,2025-09-26,2025-09-30,3868.69091796875,4217.05517578125,6.577383588004451,2238.1422983294865,0.0879570167102966,4,signal_exit,0.6414509466329846,0
ETH-USD,LONG,2025-10-11,2025-10-13,3840.96044921875,4164.04931640625,5.821044133063229,1834.1170396685366,0.0820325701312449,2,signal_exit,0.6970575711379168,0
SOL-USD,LONG,2025-10-11,2025-10-14,188.6389007568359,208.36355590820312,101.03018951021832,1952.6764145334428,0.10245846756505646,3,signal_exit,0.7161130874650663,0
XRP-USD,LONG,2025-10-11,2025-10-17,2.3587539196014404,2.294239044189453,5434.564314643033,-375.89722919493056,-0.029323901828413504,6,time_stop,0.43142184295019526,0
